제품명,제품소개,알콜도수,용량,성분,특이사항,특징,판매여부,양조장,양조장주소,홈페이지주소,수상경력
이동 생 쌀 막걸리,"포천의 이동주조는 군사지역인 탓에 군인들이 거주하는 경우가 많았는데, 이들이 제대한 후에도 이동막걸리를 잊지 못해 찾아오며 이름을 알리기 시작",6,750ml,"정제수, 백미, 팽화미, 입국, 아스파탐 등",,적절한 산미가 음식맛을 도드라져 갈비찜과 어울린다.,Y,이동주조,경기도 포천시 이동면 화동로 2466,http://edongricewine.modoo.at/,
연천 율무 동동주,"경기도 최북단 DMZ의 민통선에 위치한 연천양조장에서 연천 고래실논에서 재배되는 연천쌀과 누룩, 열천에서 재배된 율무로 빚은 알콜올 15%의 ",14,750ml,"쌀(국내산), 누룩, 효모, 연천 율무, 정제수",,알콜올 도수가 14%로 일반 막걸리의 2배가 넘는 만큼 한여름에는 얼음을 넣어 온더록스로 한잔해도 충분히 제 역할을 하는 제품입니다.,Y,농업회사법인 연천양조㈜,경기도 연천군 마산면 청정로 1738번길 15,https://ksool88.modoo.at/?NaPm=ct%3Dkj7xdaia%7Cci%3Dcheckout%7Ctr%3Dds%7Ctrx%3D%7Chk%3D7a2095c72e4d037a16692c63a0a54b00c1b9f400,
행운 생유자 동동주,유자 동동주는 거제도의 특산품 유자를 활용하여 생산한 막걸리다. 유자 추출액을 발효된 막걸리에 첨가하는 방식이 아니라 발효과정에 첨가하여 제대,6,750ml / 1700ml,"쌀(국내산), 소맥분(미국산), 전분당, 정제수, 유자과즙, 치자, 정제효소, 종국, 효모, 젖산, 아스파탐",,술을 마시고 난 후에도 매우 개운하다. 산미와 신선함이 자칫 술 맛을 가볍게 만들 수 있는데 쌀과 밀을 함께 이용해 적절한 무게감을 갖게 만들,Y,성포양조장,경남 거제시 사등면 지석3길3,http://성포양조장.kr,
오산막걸리,오산막걸리는 오산에서 재배한 세마쌀을 주원료로 누룩과 물 이외에는 인공감미료를 넣지 않고 만든 전통 수제 막걸리다. 인위적인 탄산감이 없어 마,6,500ml,"쌀(국내산), 국, 효모, 정제수",,술을 마시고 난 후에도 개운하고 아주 약하게 남는 곡물의 느낌이 음식과의 조화를 잘 갖추게 해준다. 고기류 보다는 홍어나 오징어 등 무침류와 ,Y,농업회사법인 오산양조㈜,경기도 오산시 시장길 63,http://osansool.com/,
오미자 생막걸리,다섯 가지 맛이 난다고 하여 붙여진 이름처럼 문경주조의 오미자 막걸리는 마실 때마다 색다른 맛을 느낄 수 있다. 과하지 않은 달콤함과 새콤함의,6.5,750ml,"정제수, 백미(국내산), 입국(쌀, 밀), 올리고당, 물엿, 허브(유기농), 오미자 2.4%(국내산, 문경로동산), 정제효소, 아스파탐·아세셀펌칼륨(함성감미료, 메닐알라닌 함유)",2015 찾아가는 양조장,"산뜻한 오미자 특유의 산미 향이 코를 자극시키며, 오미자의 특징인 오미의 조화가 잘 갖춰진 색이 아름다운 막걸리다. 소고기 구이와 잘 어울린다",Y,문경주조,경상북도 문경시 동로면 노은리 192번지,https://mgomijasul.modoo.at/,
가야 프리미엄 막걸리,풍부한 일조량은 받고 자란 김해 쌀로 만든 가야는 감미료를 전혀 넣지 않았음에도 꽃 향기 등이 나고 새콤달콤한 맛을 느낄 수 있다. 상쾌한 감,6,750ml,김해 쌀(100%),,"인공탄산, 인공 감밀가 들어가지 않아 우리나라의 다양한 음식들과 잘 어울린다.",Y,가야양조장,경남 김해시 한림면 한림로 46번길 79-1,https://www.instagram.com/gaya_brewery/?hl=ko,
오매백주,오산백주는 오산에서 재배한 세마쌀을 주원료로 누룩과 물 이외에는 인공감미료를 넣지 않고 만든 전통 수제 막걸리다. 인위적인 탄산감이 없어 마시,12,500ml,"쌀(국내산), 국, 효모, 정제수",,같은 양조장에서 나오는 오산막걸리와는 완전히 다른 느낌으로 견과류와 잘 어울린다.,Y,농업회사법인 오산양조(주),경기도 오산시 시장길 63,http://osansool.com/,
오곡 진상주,"대강양조장에서 생산하고 있는 오곡 진상주는 이름처럼 쌀, 밀, 옥수수, 보리, 조 의 다섯 가지의 곡류로 만들어 마시는 이의 건강을 생각하였으",7,750ml,"쌀, 밀, 보리, 옥수수, 조 등",,고소한 맛이 특징으로 백설기와 잘 어울린다.,Y,대강양조장,충북 단양군 대강면 대강로 60,http://www.krwine.com,
영일만친구 막걸리,"영일만친구 막걸리는 경북 포항을 대표하는 우리쌀로 빚은 막걸리다. 영일만친구 막걸리는 포항시청에서 브랜드를 만들고, 포항공대에서 연구개발하고,",6,750ml,"국내산 쌀, 물엿, 우뭇가사리, 효모, 조제 종국, 정제효소제, 아스파탐, 젖산",,영일만 친구는 우뭇가사리를 넣은 술이다. 우뭇가사리의 풍부한 식이섬유를 함께 마시는 즐거움이 있다. 역시 우뭇가사리 무침과 잘 어울린다.,Y,동해명주,경북 포항시 남구 동해면 일월리 51-1,https://www.yangjo.com/,
연천 아주,경기도 최북단 DMZ의 민통선에 위치한 연천양조장에서 연천 고래실논에서 재배되는 연천쌀과 누룩으로 빚은 쌀막걸리 연천아주는 어머니와 할머니가 ,8,750ml,"쌀(국내산), 누룩, 정제수",,"지역이 연천인 만큼 임진강에서 잡히는 민물고기 매운탕과 함께 즐긴다면, 매운탕 특유의 매운맛을 연천 아주가 잘 잡아준다.",Y,농업회사법인 연천양조㈜,경기도 연천군 마산면 청정로 1738번길 15,https://ksool88.modoo.at/?NaPm=ct%3Dkj7xdaia%7Cci%3Dcheckout%7Ctr%3Dds%7Ctrx%3D%7Chk%3D7a2095c72e4d037a16692c63a0a54b00c1b9f400,
얼떨결에,얼떨결에 스파클링 막걸리는 영월지역에서 생산되는 햅쌀과 국내산 원료를 이용하여 술을빚는 강원도 영월의 지역특산주다. 얼떨결에 스파클링은 자연탄,6,920ml,"쌀(국내산), 정제수, 정제효소, 효모, 젖산, 기타과장, 곡자(밀)",,"탕류, 치킨과 잘 어울린다.",Y,동강주조,강원도 영월군 영월읍 덕포하리 5길 33,https://www.instagram.com/eastriver_brewery/,
아이싱 자몽,"아이싱 자몽은 기분까지 리프레싱 시켜주는 맛있는 술이다. 하얀 쌀과 유산균 자연발효를 통해 부드러운 맛과 상큼함을 살려 뽀얗고 산뜻한 술로, ",4,"350ml, 300ml","쌀, 자몽엑기스",,술을 마시고 난 후에 미세하게 남는 쓴맛과 알코올맛을 느낄 수 있다. 케익 등 디저트 음식과 잘 어울린다.,Y,국순당,강원도 횡성군 둔내면 현천리 120,http://drink.ksdb.co.kr/,
소양강 생 막걸리,소양강 생 막걸리는 100% 국내산 쌀을 이용하며 춘천의 깨끗한 자연환경 아래서 빚어내는 막걸리다. 일반적으로 기간이나 온도를 조절해 막걸리를,6,750ml/ 1700ml,"백미, 소맥분, 정제수, 팽화미, 아스파탐, 물엿, 정제수",,밀가루와 팽화미를 이용해 고소한 맛과 텁텁함이 있다. 단맛이 적고 산미가 도드라지며 목넘김이 깔끔하며 마시고 난 뒤 쓴맛의 여운이 길다. 황태,Y,"소양강도가(구, 천정양조장)",강원도 춘천시 신북읍 율문길 65-5,http://sygdoga.modoo.at/,
세종대왕어주 탁주,"세종대왕어주 탁주는 국내산 찹쌀과 멥쌀, 전통누룩을 사용하여 세계3대 광천수로 유명한 초정리의 암반수로 빚은 술이다. 저온에서 오랜시간 숙성하",13,500ml,"쌀(국내산), 누룩, 정제수",,술을 마시고 난 후에 혀에 남는 미세한 곡물의 느낌이 음식을 당기게 하며 일반 막걸리에 비해 도수(13%)가 높기 때문에 작은 잔에 식사와 함,Y,장희도가,충북 청주 청원구 내수읍 미원초정로 1275,https://jhdg3491.modoo.at/,
성포 생막걸리,성포 생막걸리는 친환경 인증을 받은 미나리를 활용해 만든 산뜻한 맛의 막걸리다. 대구 팔공산 일대 100여개 농가에서 생산한 미나리를 수매하여,6,750ml,"쌀(국내산), 소맥분(미국산), 전분당, 정제수, 무농약 미나리추출액, 정제효소, 종국, 효모, 아스파탐",,전체적으로 단맛과 신맛의 조화가 잘 갖춰져 있으며 마시고 난 후에 술의 산미가 입 전체를 산뜻하게 만들어 미나리전이나 무침과도 잘 어울린다.,Y,성포양조장,경남 거제시 사등면 지석3길3,http://성포양조장.kr/,
설하담,부산쌀 100%로 인공첨가물이 들어가지 않은 순수한 막걸리 설하담은 부산에 위치한 설하담 브루어리에서 생산하고 있는 알코올 도수 8%의 프리미,8,950ml / 475ml,"국내산 멥쌀 100%, 개량 누룩, 정제수, 이산화탄소",,"감미료가 들어가 있지만 인위적이지 않으며, 술을 마시고 난 후에 잔여 향기가 입 안에 오래 남는데 그 느낌이 매우 매력적이다. 양념된 돼지고기",Y,리큐랩주식회사,부산광역시 영도구 남항새싹길 186,https://smartstore.naver.com/sulhadam,
설성 만월 막걸리,병영주조장의 설성 만월 막걸리는 유기농 쌀만을 사용하여 대한민국 식품명인 61호인 김견식 명인의 손끝에서 빚어지는 막걸리다. 호리병처럼 우아하,6,750ml,"정제수, 유기농쌀국내산, 누룩, 유기농올리고당 등",식품명인,"고소한 곡물 볶는 향이 있고 단맛과 신맛의 균형이 잘 갖춰져 있으며, 술이 가볍지 않고 묵직한 목넘김이 특징이다. 약간의 떫은맛도 가지고 있다",Y,병영주조장,전남 강진군 병영면 하멜로 407(성남리 140-3),http://byjujo.modoo.at/,
선운산의 아침 복분자 막걸리,명작 복분자로 국내외에서 우수한 품질을 인정 받은 국순당고창명주에서 국내산 1등급 복분자와 국내산 쌀로 빚은 살균 막걸리다. 복분자의 깊은 맛,6,750ml,"복분자, 쌀, 효모, 국, 과당, 구연산, 젖산, 정제수",,은은하게 올라오는 익은 베리향이 일품이며 단맛과 신맛의 조화가 잘 어울어져 있다. 적절한 산미가 입 전체를 깔끔하게 만들어주고 술을 마시고 난,Y,국순당고창명주㈜,전북 고창군 심원면 선운대로 2197,http://bokbunjaju.kr/,2016 대한민국 우리술품평회 살균막걸리 우수상
석탄주 탁주,"임원십육지를 비롯해서 양주방, 음식방문, 조선무쌍신식요리제법 등 여러 고문에서 석탄향에 대한 기록을 찾을 수 있는 것으로 보아 당시에는 상당히",15,500ml,"국내산 찹쌀, 누룩, 정제수",,"과실향이 좋아 식중주보다는 식전주로 어울리며, 술의 향을 방해하지 않는 가벼운 샐러드 등이 잘 어울린다.",Y,케이소주,전북 전주시 완산구 중산중앙로27. 3층,https://ksoju.modoo.at/,
생 청주 막걸리,국내산 쌀과 함께 소맥분을 사용하여 진한 맛을 느낄 수 있으며 알싸한 탄산의 맛까지 있어 청주의 대표 막걸리로 자리매김 하고 있는 생 청주 막,6,750ml,"쌀, 소맥분, 국, 조제종국, 효모, 물엿 등",,쌀 막걸리의 가벼움과 밀가루 막걸리의 묵직함이 어울어진 술로 산미는 적지만 단맛이 두드러지고 탄산에 의한 청량감이 강한 막걸리다. 더덕구이랑 ,Y,조은술 세종,충북 청주시 청원구 사천로 18길 5-2,http://www.joeunsulsj.co.kr,
삼선,"&quot;삼선&quot;은 쌀과 누룩만으로 빚어낸 이양주 막걸리다. 인공감미료을 첨가하지 않고 국내산 쌀과 전통누룩, 그리고 강원도 홍천의 ",10,500ml,"국내산쌀, 누룩, 정제수",,술이 가벼워 목 넘김이 깔끔하고 입 안에서 빨리 사라집니다. 녹두전과 잘 맞는다.,Y,농업회사법인 두루(주),강원도 홍천 내촌면 용포길 31-25,http://yesduru.com/mall/index.php,
산정호수 동정춘막걸리,향긋한 열대 과일 향과 기분 좋은 단맛이 입안을 감도는 감미로운 막걸리다. 2018년 대한민국 우리술품평회 탁주부문에서 대상을 수상하며 맛과 ,6,720ml,"국내산 쌀, 누룩, 정제수",,입 안에도 감도는 꿀같은 단맛이 매력적인 술로 떡 등과 함께 마시면 좋다.,Y,술빚는 전가네,경기도 포천시 영북면 산정호수로 335,https://www.sooldoga.com/home,2018 대한민국 우리술품평회 탁주부문 대상
산막 생유 막걸리,다양한 전통주 제품을 선보이고 있는 신탄진주조에서 생산하는 막걸리다. 양조장을 설립할 당시 생산하던 산막 막걸리를 2011년에 제품명을 바꾼 ,6,750ml,"국내산 쌀, 소맥분, 종국, 효모",,술을 마시고 난 후에는 고소한 맛이 혀에 남아 술이 너무 가볍게 느끼지 않도록 한다. 닭갈비 등 양념된 고기와 잘 어울린다.,Y,농업회사법인 신탄진주조(주),대전시 대덕구 신탄진로 738번길 128,https://stjjujo.modoo.at/,
봉하쌀 생막걸리,봉하쌀 생막걸리는 경남 김해 봉하마을에서 재배한 친환경 유기농쌀을 사용하여 전남 담양의 양조장 죽향도가에서 제조한 지역화합의 의미를 담고 있는,6,750ml,"쌀(국내산), 정제효소, 젖산, 효모, 아스파탐, 정제수",,술을 마시고 난 후에 여운이 길고 깨끗해 홍어무침과 잘 어울린다.,Y,농업회사법인 (주)봉하마을,경상남도 김해시 진영읍 봉하로 122-15,https://www.bongha.net/goods/goods_view.php?goodsNo=1000000668,
볼빨간막걸리 10,볼빨간 막걸리는 부산에서 재배한 찹쌀로 만든 수제 막걸리다. 볼빨간 막걸리를 빚고 있는 벗드림의 김성욱 대표가 술을 마시면 볼이 빨개져서 볼빨,10,500ml,"찹쌀(국내산), 누룩, 정제수",,진한 살색을 갖고 있는 술로 볼빨간막걸리7도에 비해 물 희석량이 적고 도수가 높고 전체적인 맛 또한 진한 산미가 매력적이다. 술을 마시고 난 ,Y,농업회사법인 (주)벗드림,"부산광역시 북구 덕천로247번길 3, 2층",https://butdream.modoo.at/?NaPm=ct%3Dkhvqprdz%7Cci%3Dcheckout%7Ctr%3Dds%7Ctrx%3D%7Chk%3Dd2521ff08b7af8f71afa71d4392e797b803c7da0,
병영설성 생막걸리,전라남도 친환경막걸리 공동브랜드로 강진지역에서 재배한 100% 유기농 쌀을 원로로 유산균 증식에 도움이 되는 올리고당을 자연 발효시켜 만든 제,6,750ml,"쌀(국내산), 효모, 누룩, 정제수",식품명인,새우 간장 절임이나 남도 한정식과 잘 어울린다.,Y,병영양조장,전남 강진군 병영로 하멜로 407,https://byjujo.modoo.at/,
병영설성 동동주,병영설성 동동주는 병영면 수인산의 맑은 물과 유기농 햅쌀을 사용하여 전통과 현대의 제조기법이 결합하여 만들어진 정직한 제품이다. 술을 빚기 위,6,1700ml,"쌀(국내산), 전분, 효모, 누룩, 정제수",식품명인,"묵은 김치 볶음, 담치국, 두부김치와 잘 어울린다.",Y,병영양조장,전남 강진군 병영로 하멜로 407,https://byjujo.modoo.at/,
문삼이공(moon320) 잣 주,"문삼이공(MOON320)탁주는 3(삼) 쌀, 누룩, 청정수 오직 세 가지 원료만 사용, 2(이) 두 번 빚은 술로 밑술에 덧술을 입혀 술을 빚",12,500ml,"찹쌀19.02%, 멥쌀13.16%, 누룩3.3%, 잣1.02%, 정제수63.5%",,"달짝지근하면서 향기로운 잣향은 제육볶음, 떡볶이 등의 음식은 감칠나게 해주고 매콤한 음식을 중화해준다.",Y,마마스팜,마마스팜,http://www.mamasfarm.kr/,
미생 막걸리,미생 막걸리를 생산하고 있는 김포금쌀탁주는 좋은 쌀과 좋은 물로 유명한 김포에서 3대째 가업을 이어 80여년 동안 술을 빚고 있는 양조장이다.,6,750ml,"국내산 쌀, 누룩, 효모, 정제효소, 정제수",,일반 쌀 막걸리에 비해 단맛이 적은 드라이한 맛이다. 개운한 맛의 칼칼함이 특징. 덕분에 다양한 음식과 식중주로 잘 어울리는 막걸리이다. 단맛,Y,김포금쌀탁주 영농조합법인,경기도 김포시 하성면 하성로 622,https://shopping.naver.com/fresh/traditionalalcohol/stores/100194518,
바랑 탁,바랑 탁은 안동 바랑골에서 농사를 지은 쌀과 5대째 내려오고 있는 발효기법이 합쳐져 만들어진 술이다. 바랑은 승려들이 등에 지고 다니는 자루 ,15,375ml,"국내산 찹쌀, 국내산 멥쌀, 누룩, 소맥분, 정제수",,다른 막걸리에 비해 도수(15%)가 높아 음식먹을 때 약주잔에 한 잔에 불고기가 생각나는 술이다.,Y,금계당,"경북 안동시 일직면 돌고개길 9, 1층",https://smartstore.naver.com/goldenchicken?NaPm=ct%3Dkru682lk%7Cci%3Dcheckout%7Ctr%3Dds%7Ctrx%3D%7Chk%3Dca28c695d6899abe2aa04ef87a0afaf056ac4c38,
방문주 탁주,"방문주는 이름 그대로 술 빚는 방법대로 빚은 술을 뜻한다. 방문주는 주로 봄, 가을철에 빚는 술로 알려져 있는데, 문헌 및 가전비법에 따라 재",15,500ml,"국내산 찹쌀, 누룩, 정제수",,"식중주로도 좋은 역할을 할 듯하며, 잡채, 육전 등 기름진 요리와 잘 어울린다.",Y,케이소주,전북 전주시 완산구 중산중앙로27. 3층,https://ksoju.modoo.at/,
매실 막걸리,저온장기 발효방식의 매실 막걸리는 젊은 소비자의 입맛에 맞게 개발된 제품으로 부드러운 목넘김을 강조한 막걸리이다. 특히 새콤달콤한 맛의 광양에,7,750ml,"쌀, 매실과즙",,매실을 이용했지만 산미는 적어 더덕구이 등이 잘 어울린다.,Y,백운주가,전라남도 광양시 옥룡면 신재로 946-18,https://shopping.naver.com/fresh/traditionalalcohol/stores/100192629,
두유노 (단종),"&amp;quot;두유노&amp;quot;의 제조법 영감은 옛 우리 문헌에서 받았다. 옛날 문헌에 보면, 전통술을 만들면서 쌀, 누룩, 물 외",6,600ml,"국내산 찹쌀, 국내산 멥쌀, 누룩, 밀가루",,맑은 우윳빛이 첫인상으로 다가오는 술이다. 코끝을 대보면 잘 익은 숙성 치즈향부터 느껴진다. 감식초에서 느껴지는 부드러운 새콤함에서 시작하여 ,N,디오케이브루어리,"서울특별시 강북구 삼양로 455, 1층",https://www.instagram.com/dokbrewery/,
도깨비술 7,"도깨비술 7%는 시원한 멜론향과 바닐라향이 이채로운 술이다. 도깨비양조장에서 만든 도깨비술은 7%, 9%, 11% 세 종류가 있다. 도수에 관",7,750ml,"국내산 멥쌀, 누룩, 효모, 정제수",,"단양에서 만들어지는 만큼 마늘 정식 등과 즐기면 좋으며, 쏘가리 매운탕, 메기 매운탕 등의 민물고기 요리와 곤드레 밥 등의 나물 요리에도 좋은",Y,도깨비양조장,충북 단양군 가곡면 사평3길 5,https://smartstore.naver.com/dokkaebisul,
도깨비술 9,"도깨비술 9%는 적당한 단맛과 부드러운 느낌, 그리고 혀 끝에 맴도는 배향이 이채로운 술이다. 도깨비양조장에서 만든 도깨비술은 7%, 9%, ",9,750ml,"국내산 멥쌀, 누룩, 효모, 정제수",,"단양에서 만들어지는 만큼 마늘 정식 등과 즐기면 좋으며, 쏘가리 매운탕, 메기 매운탕 등의 민물고기 요리와 곤드레 밥 등의 나물 요리도 좋은 ",Y,도깨비양조장,충북 단양군 가곡면 사평3길 5,https://smartstore.naver.com/dokkaebisul/products/46766,
대잎 생동동주 (단종),"대나무의 고장, 담양에서 빚은 술이라 대잎 생동동주라 이름지었다. 담양에서 재배한 쌀을 원료로 술을 빚고 특유의 맛을 내기 위해 영지, 생강을",6,1700ml,"국내산 쌀, 좁쌀, 정제효소, 젖산, 효모, 아스파탐, 영지, 생각, 정제수",,연한 아이보리 빛깔에 곡물향이 은은하게 스쳐 지나간다. 단맛이 적고 산뜻한 신맛이 매력적인 술이다. 술을 마시고 난 후에도 가벼운 산미와 시원,N,죽향도가,전남 담양군 담양읍 외다길30,https://dyricewine.modoo.at/,
뉴트로,디자인과는 다르게 구수한 미숫가루와 같은 색을 가지고 있다. 코에 잔을 대자 레몬의 향이 먼저 치고 올라오며 바로 라임의 향이 뒤따라 온다. ,8,600ml,"국내산 찹쌀, 국내산 멥쌀, 누룩, 레몬, 라임, 잉글리쉬블랙퍼스트, 정제수",,,N,디오케이브루어리,"서울특별시 강북구 삼양로 455, 1층",https://www.instagram.com/dokbrewery/,
까메오 막걸리,"까메오 막걸리는 국내산 쌀을 원료로, 지장수의 미네랄이 풍부하게 함유되어 있는 것이 특징이다. 아스파탐을 넣지 않으며 무첨가제로 빚어 뒤끝 없",6,550ml,"정제수, 쌀, 효모, 누룩, 과당 등",,미세하게 올라오는 캐러멜 향기에 산미가 적고 당도가 높고 초콜릿 맛이 나는 것이 특징이다. 다양한 야채와 과실이 혼합된 샐러드와 함께 마시면 ,Y,낙천,강원도 동해시 공단2로 73,http://nakchun.modoo.at/,
기다림 34,"기다림 34는 공인 사케 소믈리에면서 와인 소믈리에인 조태영 대표가 34세에 처음 출시하고, 양조장의 지번이 34번지에 착안하여 이름 붙여진 ",12,500ml,"국내산 멥쌀, 국내산 찹쌀, 곡자, 정제수",,마시고 난 뒤에 올라오는 산미가 기름진 음식들과의 궁합을 잘 만들어 주어 어느 하나 흠이 없는 술이다.,Y,제이케이크래프트,부산광역시 동래구 사직북로48번길 34,http://gidarim.co.kr/,
기다림 25,기다림 25는 술을 빚는데 큰 역할을 하는 효모가 좋아하는 온도 25도에서 100일간 발효시킨 술로써 술을 빚는 인간과 자연의 미생물의 조화로,8,750ml,"국내산 백미, 국내산 찹쌀, 곡자, 정제수",,술을 마시고 난 후에 매우 깔끔하게 마무리가 되어 상쾌한 느낌으로 매운 잡채와 잘 어울린다.,Y,제이케이크래프트,부산광역시 동래구 사직북로48번길 34,http://gidarim.co.kr/,
기다림 16,기다림 16은 효모가 향기를 생성하는 온도인 16도에서 100일간 저온 발효 시키는 술로써 저온 발효주의 부드러움과 와인과 흡사한 아로마와 부,9,750ml,"국내산 찹쌀, 국내산 흑미, 곡자, 정제수",,흰 막걸리와는 다른 재미를 느낄 수 있다. 동래파전과 함께 마시면 매우 좋다.,Y,제이케이크래프트,부산광역시 동래구 사직북로48번길 34,http://gidarim.co.kr/,
우곡생주,우곡 생주는 일생을 전통주를 위해 헌신한 고 배상면 회장의 마지막 역작을 바탕으로 딸인 배혜정 대표가 아버지의 이념을 계승한 제품이다. 막걸리,10,750ml,"국내산 쌀, 누룩, 효모, 정제수",2016 찾아가는 양조장,"닭볶음탕, 족발, 삼겹살, 회 등 다양한 안주와 어울린다.",Y,배혜정도가,경기도 화성시 정남면 서봉로 835,http://www.baedoga.co.kr/,2019 대한민국 우리술품평회 탁주부문 대상
양지백주,한계령의 맑은 물과 설악산의 정기받은 청정한 양양의 쌀로 총 세번 빚어 만들었다. 삼양주법으로 빚어 맛이 깊고 진하며 일체의 첨가제 없이 누룩,15,500ml,"국내산 쌀, 누룩, 효모, 정제수",,"닭볶음탕, 고추장 찌개, 콩나물 무침과 잘 어울린다.",Y,양지술곳간,강원도 양양군 강현면 안골로 221-7,https://smartstore.naver.com/yangjisoolgodganhttps://smartstore.naver.com/yangjisoolgodgan,
황감찰,"울산의 지역 햇찹쌀, 햅쌀과 전통방식 누룩을 사용해 깔끔한 맛이 특징이다. 막걸리가 가지고 있는 진한맛을 극대화 하기 위해 100일 이상 장기",8,750ml,"국내산 쌀, 찹쌀, 누룩, 효모, 정제수",,오징어 무침과 잘 어울린다.,Y,운곡도가,울산광역시 중구 다운동 구루미6길 6,https://www.instagram.com/ungokdoga/,
다랭이팜 유자 막걸리,"유기농 7분도 현미를 전통항아리에서 발효시켜 빚은 생 막걸리에 유기농 유자원액을 넣어 만든 막걸리로, 합성감미료 없이도 유자의 싱그러운 향기가",6,750ml,"정제수, 유기농7분도쌀, 친환경유자원액, 혼합제과 누룩",,"아구포, 유자해물화덕피자와 페어링하여 즐기기 좋다.",Y,농업회사법인 주식회사 다랭이팜,경남 남해군 남면 남면로 679번길 27-5,https://darangyifarm.modoo.at/,
동백우리쌀생막걸리,기장 백운산 자락 지하수를 길어 술을 빚는다. 동백 양조장만의 방식으로 고두밥을 찔 때 밀가루와 쌀을 적절한 비율로 섞어 시골에서 뚝배기에 담,6,750ml,"정제수, 쌀 소맥분 물엿, 곡자, 효모, 조제종국, 정제효소, 아스파탐,아세설팜칼륨",,"고갈비, 편육와 어울린다.",Y,(주)동백양조,부산광역시 기장군 정관읍 정관로 266,,
손가네 태종대 개똥쑥생막걸리,저온 추출법으로 추출해 특유의 향을 최소로 줄인 개똥쑥액 10%와 막걸리와 섞어 본연의 맛과 향을 보존했다. 쑥향의 씁쓸한 향이 은은하게 나며,6,750ml,"정제수, 쌀, 태종대개똥쑥추출물, 입국, 누룩, 정제효소, 이소말토올리고당, 구연산, 아스파탐, 효모",,"땡초어묵, 대패삼겹살과 잘 어울린다.",Y,태종대양조,부산광역시 영도구 동삼동 태종로793번길 5,,
다랭이팜 생막걸리,"다랭이팜에서는 막걸리에 사용되는 원료를 모두 까다롭게 선택하며, 고급원료에 대한 자부심이 있다. 일체의 첨가물 없이 유기농 7분도 현미, 누룩",6,750ml,"지하정제수, 9분도쌀, 찹쌀, 혼합제제 누룩,",,"된장쌈밥, 멍게비빔밥과 잘 어울린다.",Y,농업회사법인 주식회사 다랭이팜,경남 남해군 남면 남면로 679번길 27-5,https://darangyifarm.modoo.at/,
아임프리,글루텐 프리 막걸리로 밀 누룩이나 효소제가 들어가지 않은 100% 쌀로만 빚은 무첨가 막걸리이다. 바나나의 단맛과 과실향이 진하게 느껴지며 누,9,500ml,"정제수, 쌀, 국, 효모",2017 찾아가는 양조장,"매운 쭈꾸미볶음, 곱창볶음와 어울린다.",Y,술샘,경기도 용인시 처인구 양지면 죽양대로 2298-1,http://www.sulseam.com,
토끼구름,울산 햅쌀로 빚은 삼양주 막걸리로 합성 감미료를 첨가하지 않아 순하고 자연스러운 단맛을 느낄 수 있으며 목 넘김이 부드럽다. 새콤한 산미가 요,6.8,750ml,"정제수, 쌀, 올리고당, 전분, 조효소제, 혼합제제",,"모듬전, 골뱅이 소면과 잘 어울린다.",Y,운곡도가,울산광역시 중구 다운동 구루미6길 6,https://www.instagram.com/ungokdoga/,
도깨비술 11,"단양 물과 의림지 쌀, 우리밀 누룩을 사용했으며 무감미료, 무첨가물로 만들었다. 묵직하고 깊지만 달콤한 맛이 나며 뒷맛은 고소함이 남는다. 질",11,750ml,"정제수, 쌀, 국,효모",,"닭강정, 통돼지보쌈와 잘 어울린다.",Y,농업회사법인 (주)도깨비양조장,충북 단양군 가곡면 사평3길 5,https://smartstore.naver.com/dokkaebisul/products/4676621051,2019 대한민국 우리술 대축제 1위
백년향,40일 동안 발효하고 60일 동안 저온숙성한 백일주 막걸리로 삼양주 방식으로 빚은 술이다. 탄산감이 거의 없고 기교 없이 담백한 맛을 가지며 ,10,500ml,"쌀,누룩,정제수",,"조개찜, 전복구이와 잘 어울린다.",Y,추연당,경기도 여주군 가남읍 금당리 531-2,https://smartstore.naver.com/chuyondang,
볼빨간막걸리 7,볼빨간 막걸리는 부산에서 재배한 찹쌀로 만든 수제 막걸리다. 볼빨간 막걸리를 빚고 있는 벗드림의 김성욱 대표가 술을 마시면 볼이 빨개져서 볼빨,7,500ml,"정제수, 찹쌀, 누룩",,단맛을 좋아하지 않는 사람들에게는 볼빨개지면서 한 없이 마실 수 있는 술로 오징어 무침과 잘 어울린다.,Y,벗드림양조장,부산광역시 북구 만덕동 921-13번지 2층,https://smartstore.naver.com/butdream,
인생막걸리,5번의 담금 과정과 저온 발효 공법을 통해 막걸리의 풍미를 살렸다. 쌀과 밀의 적절한 비율로 만들어져 밀 특유의 상큼한 첫맛과 쌀의 단맛이 느,5,750ml,"정제수,팽화미,팽화밀가루,말토올리고당,국,혼합제제효모,아스파탐,아세설팜칼륨",,"파전, 새우전과 페어링하기 좋다.",Y,서울장수(주),충청북도 진천군 광혜원면 죽현리 277,https://seouljangsu.modoo.at/,
역전주,"역전주는 역전회관에서 자체 기획 및 전통방식으로 소량 생산하는 private brand 로 100% 국내산 쌀과 찹쌀, 누룩, 물만으로 빚어 ",9,600ml,"정제수, 멥쌀(국내산), 찹쌀(국내산), 누룩",,"양념된 육류, 숯불구이 갈비, 불고기 등 향이 다소 강한 한국 음식과의 페어링이 좋다.",Y,역전양조장 (역전회관),서울시 마포구 토정로 37길 47,www.yukjeon.com,2021 대한민국주류대상 대상 수상
