제품명,제품소개,알콜도수,용량,성분,특이사항,특징,판매여부,양조장,양조장주소,홈페이지주소,수상경력
김포약주(중복),조선시대부터 김포지방의 유명한 술인 김포특주를 재현한술로서 70년대 최고의 약주로 인정받기시작하면서 약주하면 김포약주라는 말이 있을 정도로 약,11,750ml,"소맥분, 옥전분",,빈대떡 김포약주는 특유의 곡주발효향이 풍미를 더하는데 빈대떡의 약간 느끼한 맛도 감해주어 술맛이 더욱 살아난다.,N,김포양조,경기도 김포시 월곶면 김포대로 2763,http://www.kimpo.co.kr/,2011 대한민국우리술품평회 장려상 (약주/청주 부문)
자희향 국화주,술의 향이 좋아 삼키기 아쉬웠다는 ‘석탄향’을 재현한 술로 ‘저절로 향기가 난다’는 뜻의 자희향국화주는 찹쌀을 주원료로 하여 100일간 옹기에,15,375ml,국내산 쌀,,"해산물요리, 과일샐러드 신선한 각종 해산물요리는 자희향국화주의 향과 아주 잘 어울려져 해산물만의 쫄깃하고 깔끔한 맛을 더욱 돋구어주며 상큼한 ",Y,자희자양,전남 함평군 신광면 신해로 92,http://jaheejayang.modoo.at/,"2014 대한민국우리술품평회 장려상 (약주/청주 부문), 2015 대한민국 우리술품평회 약청주 최우수상"
김포예주,"김포란 금을 파는 가게이고 예주란 맛있는 술을 말한다. 즉, 맛있는 술과 부를 함께 담아들인다는 의미이다. 김포예주는 옅은 황금빛을 보이고 있",13,750ml,"국내산 쌀, 옥전분",,"숭어회, 회무침, 매운탕 동의보감에 “숭어는 성이 평하고 맛은 달며 독이 없다. 사람의 장를 열어먹은 것을 통하게 하고 오장을 이롭게 할 뿐만",Y,김포양조,경기도 김포시 월곶면 김포대로 2763,http://www.kimpo.co.kr/,"2013 대한민국우리술품평회 최우수상 (약주/청주 부문), 2014 SIWC 동상, 2014 Monde-selection 은상"
청세주,,18,375ml,국내산 쌀,,"제육볶음, 닭갈비구이 돼지고기와 마늘을 함께 먹으면 비타민B₁의 체내흡수율을 높인다고 하고, 닭고기는 다른 육류에 비해 단백질이 높고 소화가 ",Y,병영주조장,전남 강진군 병영면 성남리 140-3,http://byjujo.modoo.at/,2013 대한민국우리술품평회 우수상 (약주/청주 부문)
노미,노미는 친환경 찹쌀과 쌀을 이용하여 쌀제곡과 전통누룩을 원재료로 빚은 깊고 부드러운 맛의 전통약주이다. 옛 제조방법은 밀 누룩으로 발효제를 만,18,700ml,"국내산 찹쌀, 국내산 쌀",,육회 육회는 신선한 살코기를 사용하여 고기의 풍미를 즐길 수 있다. 부드럽고 감칠맛 나는 노미의 뒷맛이 육회의 맛을 한층더 살려준다.,Y,내촌주조,경기 포천시 내촌면 포천로 5-7,,2010 대한민국우리술품평회 최우수상 (약주/청주 부문)
해남진양주,진양주는 원래 조선시대 궁중에서 어주로 빚던 술로서 그 비법이 장흥임씨 집안에 전해지면서 대대로 해남전통민속주로 자리 잡게 되었다. 원료가 찹,16,375ml,국내산 찹쌀(해남),시도무형문화재 전라남도 제25호,"구절판 구절판은 색이 화려하면서도 갖가지재료를 사용한 음식으로 영양도 골고루 갖춘 우리나라 전통음식이며, 해남진양주의 달콤하고 부드러운 술맛을",Y,해남진양주,전남 해남군 계곡면 덕정리 123,,
대통주,대통주는 국내산 쌀로 빚은 원주에 대나무잎 추출물을 첨가하여 만든 술로 청아한 맛과 향이 일품이다. 또한 전통발효기법으로 40일간 숙성하여 빚,11,360ml,"국내산 쌀, 국내산 매실농축액, 국내산 대나무잎",,닭갈비구이 닭갈비양념으로 텁텁해진 입안을 대통주에 첨가된 매실의 새콤달콤함이 개운하게 해주면서 대통주의 아련한 깊은 술맛을 잘 느낄 수 있다.,Y,추성고을,전남 담양군 용면 추령로 29,http://www.chusungju.co.kr,"2012 대한민국우리술품평회 대상 (약주/청주 부문), 2013 SIWC 동상, 2013 IWSC 동상, 2013 NYWSC 동상"
황진이주,"지리산자락의 농가에서 전통적으로 빚어 마신 오미자함유약주를 발굴하여 전통비법을 최대한 계승하고 발전시켜 1998년산 오주를 제조 판매하였으며,",13,375ml,"국내산 오미자, 국내산 산수유",,"완자전, 생선전 황진이주의 부드럽고 상큼한 맛과 다채로운 과일향이 완자전과 생선전의 느끼함과 비린 맛을 잡아주어 좋다.",Y,농업회사법인(유)술소리,전라북도 남원시 노암동 843-1,https://sulsori.modoo.at/?link=biu8g67n,"2012 대한민국우리술품평회 최우수상 (약주/청주 부문), 2013 대한민국우리술품평회 대상 (약주/청주 부문), 2014 Monde-sele"
만품 산삼가득,경기도 농업기술원과 대농바이오영농조합법인(우리산삼)이 공동 개발한 술로 그윽한 산삼의 향기와 산양산삼을 곱게 갈아 빚은 맛이 입안에 오랫동안 ,13,350ml,"국내산쌀(경기미), 국내 산양산삼",,"생선전 생선전에는 주로 흰살생선을 사용하는데, 붉은살생선에 비해 지방질의 함량이 낮아 담백한 맛을 보인다. 산삼가득주의 알싸한 맛이 생선전의 ",Y,대농바이오우리산삼,경기도 광주시 퇴촌면 천진암로 684,http://www.woorisansam.com,"2012 대한민국우리술품평회 우수상 (약주/청주 부문), 2014 대한민국우리술품평회 대상 (약주/청주 부문)"
민들레대포,민들레대포는 자연의 민들레와 생쌀로 빚은 부드러운 약주이다. 대포는 술 또는 술잔을 의미한다. 역사적으로 ‘크게 나누다’는 의미로 세종 때부터,13,330ml,"쌀, 누룩, 민들레",2014 찾아가는 양조장,"콩나물잡채 잡채에는 당면을 넣어서 하는 경우가 대부분인데, 당면대신 콩나물을 넣으면 고소하면서도 아삭하게 씹는 맛이 있는데다 간을 건강하게 해",Y,배상면주가,경기도 포천시 화현면 화현리 512,http://www.sansawon.co.kr,"2008 SWSC 동상, 2011 대한민국우리술품평회 대상 (약주/청주 부문)"
